State,Year,Month,NDVI
Uttar Pradesh,2012,12,0.4117947778844094
Haryana,2012,12,0.3794458286147287
Punjab,2012,12,0.42102702509190887
Rajasthan,2012,12,0.2946623792894121
Chandigarh,2012,12,0.39971556080350595
Uttar Pradesh,2013,1,0.49511516233787234
Haryana,2013,1,0.5369805589090813
Punjab,2013,1,0.6329320548760126
Rajasthan,2013,1,0.3098805909912786
Chandigarh,2013,1,0.35893276084049414
Uttar Pradesh,2013,2,0.6208056022090966
Haryana,2013,2,0.6819823376917432
Punjab,2013,2,0.7420717057040395
Rajasthan,2013,2,0.32116573326819825
Chandigarh,2013,2,0.4124607583366526
Uttar Pradesh,2013,3,0.4869613211057881
Haryana,2013,3,0.5933516423562484
Punjab,2013,3,0.6665701810319641
Rajasthan,2013,3,0.26117789475317865
Chandigarh,2013,3,0.43844226618960863
Uttar Pradesh,2013,4,0.28893760422857867
Haryana,2013,4,0.2634946571757147
Punjab,2013,4,0.31686549404446934
Rajasthan,2013,4,0.18903073875219895
Chandigarh,2013,4,0.37044839064189405
Uttar Pradesh,2013,5,0.2890169385908971
Haryana,2013,5,0.20185231853195051
Punjab,2013,5,0.22902621118350008
Rajasthan,2013,5,0.17477234275785486
Chandigarh,2013,5,0.32298249089512343
Uttar Pradesh,2013,6,0.37154709363488053
Haryana,2013,6,0.24927806111798742
Punjab,2013,6,0.29538533166277875
Rajasthan,2013,6,0.20003071810219053
Chandigarh,2013,6,0.458351366442838
Uttar Pradesh,2013,7,0.47755244861555396
Haryana,2013,7,0.4746953453162338
Punjab,2013,7,0.6172190972017113
