State,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
Uttar Pradesh,#N/A,121331,507285,4.18
Uttar Pradesh,#N/A,133841,525995,3.93
Uttar Pradesh,#N/A,81418,297013,3.65
Uttar Pradesh,#N/A,75244,279155,3.71
Uttar Pradesh,#N/A,78843,221470,2.81
Uttar Pradesh,#N/A,83021,295970,3.57
Uttar Pradesh,#N/A,80254,334739,4.17
Uttar Pradesh,#N/A,85624,341212,3.99
Uttar Pradesh,#N/A,86395,366920,4.25
Uttar Pradesh,#N/A,81330,323775,3.98
Uttar Pradesh,#N/A,82486,357577,4.34
Uttar Pradesh,#N/A,85686,339488,3.96
Uttar Pradesh,#N/A,78088,343197,4.4
Uttar Pradesh,#N/A,150414,575935,3.83
Uttar Pradesh,#N/A,136892,494317,3.61
Uttar Pradesh,#N/A,143500,525354,3.66
Uttar Pradesh,#N/A,144784,371371,2.57
Uttar Pradesh,#N/A,154256,598051,3.88
Uttar Pradesh,#N/A,140428,589798,4.2
Uttar Pradesh,#N/A,131987,559229,4.24
Uttar Pradesh,#N/A,148303,658762,4.44
Uttar Pradesh,#N/A,138554,594812,4.29
Uttar Pradesh,#N/A,141500,629534,4.45
Uttar Pradesh,#N/A,147217,590193,4.01
Uttar Pradesh,#N/A,141419,599192,4.24
Uttar Pradesh,#N/A,148783,436512,2.93
Uttar Pradesh,#N/A,146677,413042,2.82
Uttar Pradesh,#N/A,147814,415653,2.81
Uttar Pradesh,#N/A,138562,191903,1.38
Uttar Pradesh,#N/A,169728,371365,2.19
Uttar Pradesh,#N/A,150562,463731,3.08
Uttar Pradesh,#N/A,148317,469720,3.17
Uttar Pradesh,#N/A,150515,514761,3.42
Uttar Pradesh,#N/A,148014,508428,3.43
Uttar Pradesh,#N/A,147069,502535,3.42
Uttar Pradesh,#N/A,153848,508621,3.31
Uttar Pradesh,#N/A,160468,540296,3.37
Uttar Pradesh,#N/A,132299,379830,2.87
Uttar Pradesh,#N/A,131752,373644,2.84
Uttar Pradesh,#N/A,134767,400393,2.97
Uttar Pradesh,#N/A,167432,270235,1.61
Uttar Pradesh,#N/A,167579,329963,1.97
Uttar Pradesh,#N/A,133720,438200,3.28
Uttar Pradesh,#N/A,132317,444982,3.36
Uttar Pradesh,#N/A,133804,461089,3.45
Uttar Pradesh,#N/A,133141,447753,3.36
Uttar Pradesh,#N/A,135517,528381,3.9
Uttar Pradesh,#N/A,139506,450604,3.23
Uttar Pradesh,#N/A,168080,586095,3.49
Uttar Pradesh,#N/A,144074,504115,3.5
Uttar Pradesh,#N/A,140318,487184,3.47
Uttar Pradesh,#N/A,147277,508106,3.45
Uttar Pradesh,#N/A,147846,264644,1.79
Uttar Pradesh,#N/A,133654,457498,3.42
Uttar Pradesh,#N/A,142046,556820,3.92
Uttar Pradesh,#N/A,149252,598202,4.01
Uttar Pradesh,#N/A,148838,639706,4.3
Uttar Pradesh,#N/A,145657,597776,4.1
Uttar Pradesh,#N/A,144307,610996,4.23
Uttar Pradesh,#N/A,158692,664126,4.18
Uttar Pradesh,#N/A,150410,619990,4.12
Uttar Pradesh,#N/A,112582,391335,3.48
Uttar Pradesh,#N/A,110575,374739,3.39
Uttar Pradesh,#N/A,109144,378184,3.47
Uttar Pradesh,#N/A,118844,244224,2.05
Uttar Pradesh,#N/A,112433,377213,3.36
Uttar Pradesh,#N/A,112624,423128,3.76
Uttar Pradesh,#N/A,111963,435984,3.89
Uttar Pradesh,#N/A,111995,472283,4.22
Uttar Pradesh,#N/A,111829,435238,3.89
Uttar Pradesh,#N/A,112258,466881,4.16
Uttar Pradesh,#N/A,116564,474066,4.07
Uttar Pradesh,#N/A,111810,465912,4.17
Uttar Pradesh,#N/A,140493,450702,3.21
Uttar Pradesh,#N/A,139875,492500,3.52
Uttar Pradesh,#N/A,143456,283613,1.98
Uttar Pradesh,#N/A,135993,417499,3.07
Uttar Pradesh,#N/A,136437,476574,3.49
Uttar Pradesh,#N/A,140565,502098,3.57
Uttar Pradesh,#N/A,139858,564047,4.03
Uttar Pradesh,#N/A,138781,572194,4.12
Uttar Pradesh,#N/A,138648,567764,4.1
Uttar Pradesh,#N/A,144823,578858,4
Uttar Pradesh,#N/A,138066,568004,4.11
Uttar Pradesh,#N/A,91629,266457,2.91
Uttar Pradesh,#N/A,91860,274110,2.98
Uttar Pradesh,#N/A,92210,304201,3.3
Uttar Pradesh,#N/A,90522,224042,2.48
Uttar Pradesh,#N/A,90896,231058,2.54
Uttar Pradesh,#N/A,91776,309944,3.38
