State,Mean_SOC,Median_SOC,Min_SOC,Max_SOC,Std_SOC
Haryana,8.781818736683238,8.699999809265137,7.800000190734863,9.600000381469727,0.4839575515044056
Haryana,9.729292436079545,9.699999809265137,6.900000095367432,11.100000381469727,0.5782685128953499
Haryana,10.637500339084202,10.600000381469727,9.5,12.600000381469727,0.6513740771259581
Haryana,10.197916666666666,10.199999809265137,8.600000381469727,12.399999618530273,0.524598861064716
Haryana,9.51527828640408,9.399999618530273,8.100000381469727,12.199999809265137,0.6733332708013677
Haryana,9.817360772026909,9.800000190734863,8.5,11.100000381469727,0.5475107657121606
Haryana,9.715972052680122,9.600000381469727,8.600000381469727,12.0,0.6993710601073746
Haryana,10.33912990404212,10.600000381469727,8.5,11.300000190734863,0.821842626035318
Haryana,8.215384263258715,8.100000381469727,7.199999809265137,8.899999618530273,0.4373805334899253
Haryana,10.334375381469727,10.350000381469727,8.300000190734863,12.100000381469727,0.7916001898361779
Haryana,10.465277777777779,10.5,9.5,13.100000381469727,0.5955062708580001
Haryana,9.46875,9.5,8.100000381469727,11.600000381469727,0.6379730086665611
Haryana,9.33263905843099,9.300000190734863,8.5,10.699999809265137,0.40991696682905804
Haryana,10.18951031878278,10.199999809265137,9.0,11.300000190734863,0.3948467673561958
Haryana,9.866666666666667,9.899999618530273,8.600000381469727,11.0,0.5107728267370496
Haryana,9.0,9.0,9.0,9.0,0.0
Haryana,9.199999809265137,9.199999809265137,9.199999809265137,9.199999809265137,0.0
Haryana,8.620175545675712,8.600000381469727,7.400000095367432,9.699999809265137,0.41784319728894453
Haryana,10.284722222222221,10.399999618530273,8.300000190734863,12.199999809265137,0.9232580563396943
Haryana,10.568147786458333,10.600000381469727,8.800000190734863,12.5,0.7639712985383302
Haryana,9.970833672417534,9.800000190734863,8.699999809265137,12.800000190734863,0.7786094807234839
Haryana,9.215277777777779,9.199999809265137,8.399999618530273,10.399999618530273,0.3551836979953581
Haryana,9.787413270323427,9.800000190734863,8.0,10.899999618530273,0.5204714043247035
Haryana,9.977778116861979,10.100000381469727,9.199999809265137,10.399999618530273,0.372014843564635
Haryana,8.992856706891741,8.850000381469727,8.100000381469727,10.300000190734863,0.6256017483330835
Haryana,9.667832167832168,9.600000381469727,8.199999809265137,11.199999809265137,0.7025031674425052
