Year,Season,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS2M,State
2019,Kharif,32.04975409836066,37.17360655737705,26.929344262295082,702.83,2396.67,58.48934426229508,1.555327868852459,Punjab
2019,Rabi,18.329245283018867,25.684622641509435,12.429858490566039,236.78,2929.68,55.080707547169816,1.4485377358490565,Punjab
2020,Kharif,32.01032786885246,37.417459016393444,26.8072131147541,529.83,2478.16,58.580163934426224,1.598360655737705,Punjab
2020,Rabi,18.144084507042255,25.947652582159627,12.340046948356807,227.81,3124.1,54.43586854460094,1.5744600938967137,Punjab
2021,Kharif,31.964918032786883,37.309999999999995,26.69360655737705,649.23,2330.4,58.30795081967213,1.5758196721311475,Punjab
2021,Rabi,19.602735849056604,28.025801886792454,13.304905660377358,119.08,3151.53,48.10306603773585,1.6305188679245284,Punjab
2022,Kharif,31.06590163934426,35.73680327868853,26.458196721311477,766.54,2333.83,64.34745901639344,1.5604098360655738,Punjab
2022,Rabi,19.82985849056604,27.855283018867922,13.722735849056603,197.93,3175.95,55.02754716981132,1.5632547169811322,Punjab
2011,Kharif,31.57967213114754,36.57680327868852,26.908360655737706,497.43,2348.21,62.538360655737705,2.1618852459016393,Haryana
2011,Rabi,20.24806603773585,28.97014150943396,13.265849056603773,62.17,3370.19,42.047216981132074,1.5315566037735848,Haryana
2012,Kharif,32.951557377049184,38.40680327868853,27.740409836065574,409.64,2411.83,51.674590163934425,2.563606557377049,Haryana
2012,Rabi,19.80854460093897,28.861830985915493,12.493661971830987,48.88,3331.6,33.53577464788732,1.7831455399061034,Haryana
2013,Kharif,31.361639344262294,36.47311475409836,26.40844262295082,624.97,2381.95,61.823196721311476,2.020655737704918,Haryana
2013,Rabi,19.878773584905662,28.319433962264153,12.924009433962263,137.25,3252.09,43.91485849056604,1.7187264150943395,Haryana
2014,Kharif,33.71590163934427,39.72352459016393,27.878032786885246,243.34,2545.76,44.75139344262295,2.499344262295082,Haryana
2014,Rabi,20.018679245283018,28.5236320754717,13.08311320754717,98.31,3197.25,37.49787735849057,1.598443396226415,Haryana
2015,Kharif,31.50672131147541,37.28622950819672,25.92811475409836,449.28999999999996,2440.17,54.17360655737705,2.138360655737705,Haryana
2015,Rabi,20.4252358490566,28.783632075471697,13.564905660377358,177.07,3188.31,40.35377358490566,1.604858490566038,Haryana
2016,Kharif,31.853770491803278,37.154426229508196,26.68934426229508,478.25,2387.67,58.28704918032786,1.8001639344262295,Haryana
2016,Rabi,21.945164319248825,30.828450704225354,14.609953051643194,31.41,3309.7,27.887511737089202,1.6638967136150236,Haryana
2017,Kharif,31.846065573770492,37.55270491803279,26.483196721311472,420.15000000000003,2378.82,55.50934426229509,2.094672131147541,Haryana
2017,Rabi,21.104150943396228,30.00867924528302,13.958679245283017,88.78,3355.38,33.639009433962265,1.696933962264151,Haryana
2018,Kharif,31.50565573770492,36.689590163934426,26.63639344262295,566.6,2197.5,60.75,2.0035245901639347,Haryana
2018,Rabi,20.88004716981132,29.862594339622643,13.640471698113208,34.74,3413.94,35.63457547169811,1.6241509433962265,Haryana
2019,Kharif,32.808196721311475,38.1844262295082,27.75893442622951,382.55,2357.4,55.98491803278689,1.9606557377049179,Haryana
2019,Rabi,19.764103773584903,27.979009433962265,13.076933962264151,135.11,3102.24,46.22981132075471,1.7031132075471698,Haryana
